"Depth","DOM","O2","NH3"
0,0.0517,0.2107,5e-04
26.3158,0.0339,0.0591,0.0047
52.6316,0.0217,0.0044,0.0087
78.9474,0.0123,-0.001,0.0139
105.2632,0.0114,0.0074,0.0146
131.5789,0.0075,9e-04,0.0163
157.8947,0.0071,0.0017,0.0163
184.2105,0.0044,0.0087,0.014
210.5263,0.0038,3e-04,0.0134
236.8421,4e-04,0.0021,0.0113
263.1579,0.0013,0.0087,0.0076
289.4737,-3e-04,0.005,0.0073
315.7895,3e-04,0.0061,0.0036
342.1053,0.002,0.0136,0.0019
368.4211,-7e-04,0.0174,6e-04
394.7368,-0.001,0.026,0.0016
421.0526,0.0014,0.0311,0
447.3684,-0.0016,0.0347,4e-04
473.6842,-9e-04,0.047,1e-04
500,-3e-04,0.0486,8e-04
